province,commandery,county,city
Yu 豫州,Liang 梁,Yu 虞,Tongting 桐亭 (town)
Yu 豫州,Lu 魯,Bian 卞,Wuxiangcheng 郚鄉城 (town)
Yu 豫州,Lu 魯,Feng 豐,Fenyuting 枌榆亭 (town)
Yu 豫州,Pei 沛,Qi 蘄,Dazexiang 大澤鄉 (town)
Yu 豫州,Pei 沛,Xiao 洨,Gaixiaju 垓下聚 (town)
Yu 豫州,Qiao 譙,,
Yu 豫州,Runan 汝南,Anyang 安陽,Jiangting 江亭 (town)
Yu 豫州,Runan 汝南,Chengfu 城父,Zhanghuatai 章華台 (town)
Yu 豫州,Runan 汝南,Pingyu 平輿,Runan 汝南 (city)
Yu 豫州,Runan 汝南,Pingyu 平輿,Shenting 沈亭 (town)
Yu 豫州,Runan 汝南,Ruyang,
Yu 豫州,Runan 汝南,Shansang 山桑,Chuihuiju 垂惠聚 (town)
Yu 豫州,Runan 汝南,Shen 慎,
Yu 豫州,Runan 汝南,Xihua 西華,
Yu 豫州,Runan 汝南,Xincai 新蔡,Dalüting 大呂亭 (town)
Yu 豫州,Runan 汝南,Xincai 新蔡,Fanyangting 繁陽亭 (town)
Yu 豫州,Runan 汝南,Xincai 新蔡,Geling 葛陵 (town)
Yu 豫州,Runan 汝南,Xiping 西平,Baiting 柏亭 (town)
Yu 豫州,Runan 汝南,Xiping 西平,Tangxiting 棠溪亭 (town)
Yu 豫州,Runan 汝南,Yang'an 陽安,Daoting 道亭 (town)
Yu 豫州,Yingchuan 潁川,Changshe 長社,
Yu 豫州,Yingchuan 潁川,Dingling 定陵,Dongbugeng 東不羹 (town)
Yu 豫州,Yingchuan 潁川,Fucheng 父城,Shichexiang 市車鄉 (town)
Yu 豫州,Yingchuan 潁川,Jia 郟,Yangyinli 奍陰裡 (town)
Yu 豫州,Yingchuan 潁川,Lunshi 輪氏,Kangxiang (town)
Yu 豫州,Yingchuan 潁川,Lunshi 輪氏,Rongyang (city)
Yu 豫州,Yingchuan 潁川,Yangcheng 陽城,Fushuju 负黍聚 (town)
Yu 豫州,Yingchuan 潁川,Yangdi 陽翟,Yingchuan 潁川 (city)
Yu 豫州,Yingchuan 潁川,Yangdi 陽翟,Yangguan 陽關 (town)
Yu 豫州,Yingchuan 潁川,Yingyang 潁陽,Fenqiu 汾丘 (town)
Yu 豫州,Yingchuan 潁川,Yingyang 潁陽,Zhongmou (city)
Yu 豫州,Yiyang 弋陽,,
